outer_fold,selected_trial_number,distance_to_ideal_innercv,hpo_time_sec,train_time_sec,thr_cls_from_val_sel,val_sel_best_bacc,val_sel_best_f1m,outer_test_pr_auc,outer_test_roc_auc,outer_test_bacc,outer_test_f1_1,outer_test_f1_macro,outer_test_prec1,outer_test_rec1,outer_test_cm_TN_FP_FN_TP,outer_test_dice_global,outer_test_dice_pos_mean,outer_test_miou,outer_test_pix_specificity,outer_test_pix_f1,outer_test_pix_prec,outer_test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch,hp_loss_w_mask
1,35,0.3162229044592262,17325.305223400006,359.745351199992,0.9980020000000001,0.9282448817332538,0.9121034552434835,0.993878677231189,0.9848289417111972,0.949051041090842,0.9506493506493506,0.9222520496263513,0.9945652173913043,0.9104477611940298,"[80, 1, 18, 183]",0.8609549933314576,0.899527364702367,0.8690067046281715,0.9935510908623164,0.8609549928321634,0.8965400382221254,0.8280869559384779,0.0005210428342433791,4.270619197053439e-05,0.10265977291922876,192,2.4587533769729153
2,26,0.3294592340310432,18046.442830099957,444.63807739998447,0.9840160000000001,0.9445225895040021,0.9211844666390121,0.9768934451382154,0.9614888520361158,0.9319145015662429,0.9573934837092731,0.9271815903394851,0.9646464646464646,0.9502487562189055,"[74, 7, 10, 191]",0.8711940289123193,0.8945184774066678,0.8782807209027657,0.9905755858481224,0.8711940284126799,0.8460218557345646,0.89791006161974,0.0003527134719514876,1.1666020282617675e-07,0.20792865019108947,256,2.696638467420438
3,49,0.3356389308017569,17703.178636599972,462.526661699987,0.9980020000000001,0.9676209310355652,0.9562733465172489,0.9992751536730701,0.9981222481222483,0.946969696969697,0.944,0.9126779661016948,1.0,0.8939393939393939,"[78, 0, 21, 177]",0.9091495698213682,0.9147232903374566,0.9112810816044401,0.9960327278105197,0.9091495693216215,0.9324537941711264,0.8869817981342424,0.0003845232732450585,1.1901176389191731e-06,0.13858614946258452,256,2.4748216721000285
4,22,0.36798432758578487,18317.26561319997,417.611985000025,0.9740260000000001,0.9660071301247772,0.9475040033419202,0.9914853100640192,0.9773374773374773,0.8986013986013985,0.9081081081081082,0.8606474606474607,0.9767441860465116,0.8484848484848485,"[74, 4, 30, 168]",0.858143417582902,0.8726717823683613,0.8667098049252776,0.9926997254937231,0.8581434170832299,0.8835539964404014,0.8341535706996669,0.0004896851255704982,1.8871612203906618e-05,0.23378532769347685,256,2.432908883556186
5,26,0.33201923984598725,17859.89756959997,365.1113347999635,0.9980020000000001,0.9405034324942791,0.9337051457434494,0.9948256455328518,0.986855844235612,0.9318223696333149,0.9489795918367347,0.9163502610346465,0.9738219895287958,0.9253731343283582,"[76, 5, 15, 186]",0.8273595458251161,0.8743293534463911,0.8413276955141595,0.986440277922973,0.827359545325465,0.8033403884421372,0.8528592734744099,0.0003450802665513508,1.60400189822426e-06,0.26455508021202995,256,1.407597305864786
6,38,0.31822088586435043,17863.622346699995,408.6105010000174,0.9120880000000001,0.948890082348729,0.9429324420821708,0.9936057620529541,0.982986303052638,0.9319145015662429,0.9573934837092731,0.9271815903394851,0.9646464646464646,0.9502487562189055,"[74, 7, 10, 191]",0.8735457247902972,0.8890734335676355,0.8807677825601579,0.9939720467247958,0.8735457242903734,0.889573615309904,0.8580851771312744,0.0008011070649188459,1.1843349498732724e-06,0.2498862889398814,256,2.894903252290406
7,26,0.3196173347981217,18513.17812930001,504.20209099998465,0.9980020000000001,0.9348132487667371,0.9268478313899595,0.9939557969024959,0.9833592333592334,0.947940947940948,0.9585492227979274,0.9310818403146264,0.9840425531914894,0.9343434343434344,"[75, 3, 13, 185]",0.860556999646904,0.8795753440471611,0.868941055472363,0.9926191021098751,0.8605569991470614,0.879979905425534,0.8419729822153234,0.0008642032042503412,7.818893705164563e-07,0.12688572349886634,256,2.6702482171286004
8,3,0.3404473776948862,18220.3633196,368.8757144000265,0.9660340000000001,0.9561224489795919,0.9434735868396711,0.9967328967320075,0.9911292411292412,0.9557109557109558,0.9581151832460733,0.9319987680936248,0.9945652173913043,0.9242424242424242,"[77, 1, 15, 183]",0.8868124450784588,0.8895040088229709,0.8915637387537219,0.9944372938377644,0.8868124445786009,0.9056106623523387,0.8687787660525322,0.0003450768131156361,1.4347494710900565e-07,0.1981171912189044,256,2.285231768585234
9,29,0.33669228739017343,17859.014836999995,269.35470590001205,0.9240760000000001,0.9505291005291006,0.9303350672161048,0.989614824180259,0.9722222222222221,0.9022921522921523,0.9173333333333333,0.8710960451977401,0.9717514124293786,0.8686868686868687,"[73, 5, 26, 172]",0.8068848838481915,0.8311421461779662,0.8259454443930334,0.9852404355323029,0.8068848833488076,0.7771250747888832,0.839014742134466,0.0005243813239319305,9.866462115349301e-07,0.32224818502746,256,1.9502204518721693
10,43,0.3473973440666998,17903.730103199952,277.70791420002934,0.9900100000000001,0.9316510387938959,0.920376530540024,0.9908957494839383,0.976474358974359,0.9293589743589743,0.9430051813471503,0.906796708320634,0.978494623655914,0.91,"[74, 4, 18, 182]",0.8001190868321635,0.8388977730274201,0.8215687995123333,0.9885106986031706,0.8001190863320712,0.8069233560415175,0.79342861019402,0.0003833398520373004,6.944267433142807e-07,0.1172379333631342,128,2.654904591322907
