trial_number,outer_fold,pruned,time_sec,lr,weight_decay,dropout_rate,alpha,dec_ch,loss_w_mask,val_cls_prauc,val_mask_dice_global,distance_to_ideal
0,1,False,389.5984098999761,6.972601389425683e-05,6.717375374452922e-06,0.14001728925579648,0.2,192,1.8529055307085094,0.7934414920488198,0.5866995645926061,0.4620429277837279
1,1,False,416.23380049999105,5.437387198731951e-05,1.5894427467920508e-05,0.21848500552930178,0.2,256,1.0525724897109283,0.7877811922981562,0.5859824712973044,0.46523900998892975
2,1,False,386.42441610002425,0.00016119149502823524,8.877474082252482e-07,0.12299880999893419,0.2,192,2.886220312771663,0.8183049868191414,0.6481622447056443,0.39598343887764204
3,1,False,297.86505109997233,0.00018135027505673627,1.0213484994262787e-05,0.12475001490914664,0.2,96,1.8580062882010149,0.8662838259112029,0.6267094225769617,0.3965171754234245
4,1,False,306.11389249999775,0.00019768469517391222,8.111870945653683e-06,0.39346124022460194,0.2,128,0.9522864881447525,0.8759866850622249,0.603760903288245,0.4151923940112623
5,1,False,414.60207700001774,0.0007857695407687355,1.7213094385854133e-06,0.3595051361821545,0.2,256,1.017228428358413,0.9153565070066392,0.5566007285407105,0.45140606424454005
6,1,False,415.14718869997887,0.00016091954164849156,9.565715876232623e-05,0.32071812445213627,0.2,256,1.497992214760187,0.8499629049840423,0.6564938788340376,0.3748434141869273
7,1,False,415.1351765000145,0.0003468844277306199,1.3006092057794088e-05,0.28286796137771375,0.2,256,1.2258319444268915,0.9304167740680536,0.6357239039834588,0.3708623726669351
8,1,False,414.6175110999611,0.00033295236683119483,7.922282547548326e-07,0.14334351352684863,0.2,256,1.1133581324083994,0.9603202803206654,0.6700200317442846,0.33235712660310673
9,1,False,305.69058829999994,0.00043413609293616804,1.4469047539530243e-05,0.3085782600865279,0.2,128,0.9964497110907848,0.9374525721890368,0.5934471725371652,0.41133609402019805
10,1,False,305.31362269999227,0.000278718453902178,7.874550001935913e-05,0.39960947376900613,0.2,128,1.9240609973576475,0.8634166518713192,0.6708696733734081,0.3563450334877245
11,1,False,305.7346443000133,5.0740052454479174e-05,6.820760009382921e-06,0.36105444311037693,0.2,128,1.586695802717013,0.7826651528884607,0.561346254938491,0.48954217777989617
12,1,False,297.35194239998236,0.0006471653899314206,5.822893419767483e-07,0.23299380841869524,0.2,96,1.2790686732728769,0.9154117659443228,0.5782195958330593,0.4301788914857235
13,1,False,386.4760508000036,0.0004395261767808619,1.4011907433416562e-05,0.38246627312749515,0.2,192,2.6122447189421405,0.8634885756427739,0.6699452430544184,0.35717154360677394
14,1,False,386.45930790004786,0.0007193590133673152,3.068201209628924e-05,0.2182593993879179,0.2,192,0.8206508539401831,0.9486937727144198,0.589120583237968,0.41407031296265034
15,1,False,414.9981457000249,0.00032198124240990936,4.1126206185225173e-07,0.3234871376596689,0.2,256,2.252439223583261,0.87453680977406,0.6644561463983637,0.35823273132351646
16,1,False,305.53924690000713,0.00016529437772102473,2.3028015417469093e-07,0.11810906330546611,0.2,128,2.3215101255213786,0.8362322002548291,0.6603708819364368,0.37705149524966497
17,1,False,297.41650629998185,0.00011634763176427868,3.7016286594494778e-06,0.34445556587518533,0.2,96,1.670484765174813,0.8191396198856575,0.6033692165277292,0.43592023982941164
18,1,False,414.9816415000241,8.449783724950901e-05,1.6233336955126483e-07,0.252520279643922,0.2,256,1.3877811760019112,0.802676205553414,0.6140500456669568,0.43346746948816894
19,1,False,386.625599699968,0.0005455198689756868,1.1964286595880206e-07,0.10067187314600594,0.2,192,0.8978437413849534,0.9570690989441845,0.6186165678893725,0.3837921111147881
20,1,False,297.140531299985,0.0007840517663685742,3.1492745287635617e-07,0.2107855921129161,0.2,96,1.2985126507140936,0.928558119725491,0.5822155921493409,0.4238487391750542
21,1,False,386.32434689998627,0.0008079194161955229,9.820142752560357e-05,0.2458046572179614,0.2,192,0.6118642386045685,0.9411437926673889,0.5474313748259423,0.4563796814424543
22,1,False,305.4713249000488,0.00018203443106106382,1.3505927042831239e-05,0.28782139828901265,0.2,128,1.9743275255240695,0.8455503160002202,0.6360718338517584,0.39534594345162316
23,1,False,305.790999800025,9.216410802259233e-05,2.427878252626456e-05,0.20509179466835575,0.2,128,0.9000865268476459,0.8350953547639064,0.5927891066559844,0.43933387494987586
24,1,False,305.20976120000705,0.000545194096901871,9.956458444926953e-07,0.264009155984978,0.2,128,2.9087228094489515,0.8919574586159922,0.6286864432072716,0.3867130049620542
25,1,False,386.66705839999486,0.000872600417413986,5.71783029236062e-05,0.3551457070159997,0.2,192,2.746842728404138,0.9019961924879084,0.5983954828495662,0.4133895674572596
26,1,False,297.9153703000047,0.0002959016456511369,9.465366689035074e-05,0.30777291924562755,0.2,96,1.389486065781231,0.9108839463828259,0.6351827768776717,0.3755439751866428
27,1,False,386.3845691999886,0.0001998626256061394,9.482751600290523e-06,0.12578266352501857,0.2,192,2.204505341037983,0.8576458593797895,0.6406219987761127,0.38654527434104663
28,1,False,305.9373733999673,9.360008276167369e-05,1.166297232308069e-07,0.11169225217442784,0.2,128,1.8605656892722118,0.8066739144866648,0.6091255812079703,0.4360708504428109
29,1,False,305.3984548000153,0.0002224418755605753,4.5609685603151064e-05,0.22305831956995192,0.2,128,2.438260697781099,0.8456182106366773,0.649917589908954,0.3826113311732634
30,1,False,415.12073220004095,5.079111816575945e-05,1.4395906941206005e-07,0.2743449754687329,0.2,256,1.893621334561029,0.7794750368229554,0.5709999017876217,0.48236121698418816
31,1,False,297.50648899999214,5.352999323527365e-05,5.223518445516718e-06,0.3109032340796458,0.2,96,2.8610488560957643,0.7868951955281498,0.5455629268659836,0.5019230131480293
32,1,False,386.6123134000227,0.0004897278587475082,9.455722045253265e-05,0.37237230535129096,0.2,192,0.5814653093101538,0.9388874650254916,0.583270192591676,0.4211869826022515
33,1,False,297.75285790005,8.041894015992202e-05,4.665570931930494e-06,0.26111347124906836,0.2,96,1.4824332987295634,0.8045022171107796,0.5984893807032778,0.4465760411426458
34,1,False,415.0560057000257,6.125284776651323e-05,2.145586482264898e-06,0.15964372630855386,0.2,256,0.9563386910530021,0.7976018869416881,0.5977719366493399,0.4502803694548407
35,1,False,386.527826000005,0.0005210428342433791,4.270619197053439e-05,0.10265977291922876,0.2,192,2.4587533769729153,0.9409557173167624,0.689338290117609,0.3162229044592262
36,1,False,305.38605370000005,0.00021502041557909516,5.446130887783317e-06,0.1706960941725867,0.2,128,2.8622564865697435,0.8376456792758606,0.6423666471027291,0.3927601565362004
