outer_fold,loss_w_mask,train_time_sec,thr_cls_from_val_sel,val_sel_best_bacc,val_sel_best_f1m,test_pr_auc,test_roc_auc,test_bacc,test_f1_1,test_f1_macro,test_prec1,test_rec1,test_cm_TN_FP_FN_TP,test_dice_global,test_dice_pos_mean,test_miou,test_pix_specificity,test_pix_f1,test_pix_prec,test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch,selection_criterion,method
1,1.0,297.7802622000454,0.9940060000000001,0.9449413635460147,0.9274099883855982,0.9937106766976485,0.9838462010932989,0.9169891284319145,0.9414758269720102,0.903486451497701,0.9635416666666666,0.9203980099502488,"[74, 7, 16, 185]",0.825428105938695,0.86225039923369,0.8402295308824256,0.9914480528641405,0.8254281054394939,0.8620360205539628,0.7918027728775806,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192.0,by_prauc,scalar
1,3.0,287.83137419994455,0.502498,0.9352017491552376,0.9251098389029424,0.9882752970365128,0.9702720963085805,0.9071310116086235,0.9393939393939394,0.8982683982683983,0.9538461538461539,0.9253731343283582,"[72, 9, 15, 186]",0.8528956913870569,0.8747342047999748,0.8622220274412876,0.9922478953399857,0.8528956908873891,0.8782885658412002,0.8289298642179836,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192.0,by_dice,scalar
2,2.5,309.0188374998979,0.9360640000000001,0.9349442379182156,0.8994740281970683,0.9936996602403576,0.984337571402248,0.9206744057490326,0.9411764705882353,0.9041142468548113,0.968421052631579,0.9154228855721394,"[75, 6, 17, 184]",0.8574184559323533,0.8870708693319292,0.8667641077210395,0.9895365763485856,0.8574184554328036,0.8301162284081782,0.8865776805365079,0.0003527134719514,1.1666020282617676e-07,0.2079286501910894,256.0,by_prauc,scalar
2,2.0,308.425926099997,0.8181820000000001,0.9278609464483071,0.921079958463136,0.9876503807480113,0.9702720963085805,0.9085129906025429,0.9533169533169533,0.9161489225183492,0.941747572815534,0.9651741293532339,"[69, 12, 7, 194]",0.8582404285266751,0.8927854851110658,0.8675274822731105,0.9902416825794583,0.85824042802686,0.8385517792348797,0.8788758609783969,0.0003527134719514,1.1666020282617676e-07,0.2079286501910894,256.0,by_dice,scalar
3,2.0,323.8575275000185,0.9480520000000001,0.9603540823053018,0.9500266817339988,0.9969393629862207,0.9919062419062419,0.9557109557109558,0.9581151832460733,0.9319987680936248,0.9945652173913043,0.9242424242424242,"[77, 1, 15, 183]",0.8723801887059123,0.8836221887607767,0.8792573032898491,0.9942529524345177,0.8723801882063286,0.900848528137668,0.845656025836988,0.000384523273245,1.1901176389191731e-06,0.1385861494625845,256.0,by_prauc,scalar
3,3.0,322.22741559997667,0.9980020000000001,0.9575917380795429,0.9500266817339988,0.9959424585148131,0.9891867391867392,0.952020202020202,0.9496021220159151,0.9205153467222433,1.0,0.9040404040404041,"[78, 0, 19, 179]",0.8843093680167126,0.9045166824803208,0.8891807626632613,0.9925585087546256,0.8843093675166491,0.8805150136398093,0.8881365655231147,0.000384523273245,1.1901176389191731e-06,0.1385861494625845,256.0,by_dice,scalar
4,3.0,319.35204540006816,0.8781220000000001,0.9598395721925134,0.9526653752331755,0.9941859072464405,0.9838124838124839,0.9415306915306916,0.9560723514211886,0.9265210241954428,0.9788359788359788,0.9343434343434344,"[74, 4, 13, 185]",0.8601587738850349,0.8795974953006013,0.8683823287105992,0.9928029117624952,0.8601587733853533,0.885286284136237,0.8364183071413983,0.0004896851255704,1.8871612203906618e-05,0.2337853276934768,256.0,by_prauc,scalar
4,3.0,319.35204540006816,0.8781220000000001,0.9598395721925134,0.9526653752331755,0.9941859072464405,0.9838124838124839,0.9415306915306916,0.9560723514211886,0.9265210241954428,0.9788359788359788,0.9343434343434344,"[74, 4, 13, 185]",0.8601587738850349,0.8795974953006013,0.8683823287105992,0.9928029117624952,0.8601587733853533,0.885286284136237,0.8364183071413983,0.0004896851255704,1.8871612203906618e-05,0.2337853276934768,256.0,by_dice,scalar
5,2.5,316.5823081000708,0.9640360000000001,0.9092295957284515,0.8873316416162405,0.9967092274969567,0.9909710705730607,0.962778699097107,0.9695431472081218,0.9494774559570021,0.9896373056994818,0.9502487562189055,"[79, 2, 10, 191]",0.8472505068472896,0.8915974583791856,0.857478325227698,0.9887096896799754,0.8472505063473631,0.8322970048205476,0.8627511649278203,0.0003450802665513,1.60400189822426e-06,0.2645550802120299,256.0,by_prauc,scalar
5,3.0,316.05714400007855,0.9840160000000001,0.922482837528604,0.9132341723874904,0.9931306462131385,0.9821878263005959,0.8973650267182605,0.9458128078817734,0.9032861507763297,0.9365853658536586,0.9552238805970149,"[68, 13, 9, 192]",0.8496704440499211,0.8964621083653388,0.8595128110386604,0.9892536169431949,0.8496704435499184,0.8387780081207168,0.8608495021027212,0.0003450802665513,1.60400189822426e-06,0.2645550802120299,256.0,by_dice,scalar
