comparison,metric,n_paired,mean_A,std_A,mean_B,std_B,wilcoxon_p,ttest_p,cohens_d_paired,wilcoxon_p_holm,wilcoxon_reject_holm,ttest_p_holm,ttest_reject_holm
multiobjective vs by_prauc,test_pr_auc,10,0.9921163260990999,0.006041444891154887,0.99584977537951,0.0015095912047119902,0.037109375,0.06042303811576193,-0.6786427596419056,0.296875,False,0.48338430492609546,False
multiobjective vs by_prauc,test_dice_global,10,0.8554720695669177,0.03450501825265575,0.8573543633299483,0.01656809817444022,0.921875,0.8795056477830347,-0.04931931674491866,1.0,False,1.0,False
multiobjective vs by_prauc,test_dice_pos_mean,10,0.8783962973904398,0.026049670697369187,0.8755534468469406,0.019827472469662318,0.845703125,0.8164462492796097,0.07558385828591388,1.0,False,1.0,False
multiobjective vs by_prauc,test_miou,10,0.8655392828266424,0.028433308925677928,0.8666602499464057,0.013725106781995663,0.921875,0.9117320825868304,-0.036053383585474635,1.0,False,0.9117320825868304,False
multiobjective vs by_prauc,test_pix_specificity,10,0.9914078984745565,0.0036004877493456544,0.9922197801345487,0.0022738010207298343,0.322265625,0.28749617756879997,-0.35749171045955974,1.0,False,1.0,False
multiobjective vs by_prauc,test_pix_f1,10,0.8554720690672074,0.0345050182526429,0.857354362830479,0.016568098174228878,0.921875,0.8795056477667286,-0.049319316751653235,0.921875,False,1.0,False
multiobjective vs by_prauc,test_bacc,10,0.932557653973077,0.019244298641576292,0.9456966891133558,0.01657616666244259,0.232421875,0.15440098712798236,-0.49169008572576206,1.0,False,1.0,False
multiobjective vs by_prauc,test_f1_macro,10,0.9107264280015748,0.025101104138046334,0.927040117484782,0.01907387280526445,0.322265625,0.19301722455323203,-0.44492366668438693,1.0,False,1.0,False
multiobjective vs by_dice,test_pr_auc,10,0.9921163260990999,0.006041444891154887,0.9936345545503255,0.003346038556907539,0.4921875,0.3935909549115479,-0.2833373500929163,1.0,False,1.0,False
multiobjective vs by_dice,test_dice_global,10,0.8554720695669177,0.03450501825265575,0.8630081801850128,0.014732333718639953,0.625,0.506851409450886,-0.2185891952463575,1.0,False,1.0,False
multiobjective vs by_dice,test_dice_pos_mean,10,0.8783962973904398,0.026049670697369187,0.8844559222433913,0.01730200217010959,0.625,0.5541464390385009,-0.19429876556551395,1.0,False,1.0,False
multiobjective vs by_dice,test_miou,10,0.8655392828266424,0.028433308925677928,0.8711803618881468,0.012431659557297567,0.6953125,0.5432676515313896,-0.19977383168368507,1.0,False,1.0,False
multiobjective vs by_dice,test_pix_specificity,10,0.9914078984745565,0.0036004877493456544,0.9914196009344802,0.001608084987478837,0.921875,0.9906445241126024,-0.0038122096643401467,1.0,False,0.9906445241126024,False
multiobjective vs by_dice,test_pix_f1,10,0.8554720690672074,0.0345050182526429,0.8630081796851098,0.014732333718598273,0.625,0.5068514094617609,-0.2185891952406184,1.0,False,1.0,False
multiobjective vs by_dice,test_bacc,10,0.932557653973077,0.019244298641576292,0.93427384348653,0.02240563160320267,0.845703125,0.8749920545027923,-0.05118443581766654,1.0,False,1.0,False
multiobjective vs by_dice,test_f1_macro,10,0.9107264280015748,0.025101104138046334,0.920470004492134,0.01722101011792358,0.921875,0.4312195715283274,-0.260579960881872,0.921875,False,1.0,False
