n_shots,base_seed,sample_seed,pr_auc,roc_auc,bacc,dice_global,dice_pos_mean,miou,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,pix_specificity,pix_f1,pix_prec,pix_rec
0,-1,-1,0.5553785308012805,0.5040757637752319,0.500954064375341,0.005715104556916319,0.010835983469154249,0.47175510450038477,,,,,,,,,
10,42,0,0.5336039553681948,0.46243877551020407,0.46688775510204084,0.022943440078081127,0.008052249603224076,0.504295651671664,0.4058679706601467,0.45033523273132076,0.5060975609756098,0.33877551020408164,"[119, 81, 162, 83]",0.9999527880137796,0.022943440011854884,0.42911461162388426,0.011786822630699275
25,42,0,0.5472747664502651,0.4917755102040816,0.49295918367346936,0.010737790502422257,0.02368827900108026,0.4838759207242249,0.6478405315614618,0.4558647102251754,0.5462184873949579,0.7959183673469388,"[38, 162, 50, 195]",0.9650542358360448,0.010737790355914831,0.005828761442506628,0.06805025065648024
50,42,0,0.556966737618183,0.5005714285714286,0.5121428571428571,0.11719508038815207,0.05131009573839149,0.5296144867583453,0.4052631578947368,0.481062951496388,0.5703703703703704,0.3142857142857143,"[142, 58, 168, 77]",0.9997855919978783,0.11719508016358111,0.4835533434321052,0.0666776080210064
100,42,0,0.5685064036399025,0.5039591836734694,0.4984693877551021,0.14077261835638846,0.06221674352276082,0.5363238961912747,0.425,0.4778061224489796,0.5483870967741935,0.3469387755102041,"[130, 70, 160, 85]",0.999682453348628,0.14077261807806005,0.44246391671263957,0.0837013607066113
200,42,0,0.5684504848248102,0.49882653061224497,0.4563775510204082,0.042526522316500816,0.024355139598554496,0.5085018126573029,0.549618320610687,0.45240478872064405,0.5161290322580645,0.5877551020408164,"[65, 135, 101, 144]",0.9981703221591411,0.042526521831468544,0.05435085438335684,0.034927787061350635
400,42,0,0.5739705524799794,0.49341836734693884,0.4913775510204082,0.14061314595932328,0.06576763002239928,0.5362639656227062,0.5647058823529412,0.4902476780185758,0.5433962264150943,0.5877551020408164,"[79, 121, 101, 144]",0.9996528504000846,0.14061314567118277,0.4224646887377309,0.08434292193840885
1777,42,0,0.8785989362959941,0.8276530612244898,0.7141326530612245,0.7043346172651916,0.41987583393953287,0.7710706787187978,0.749498997995992,0.714902951683418,0.7362204724409449,0.763265306122449,"[133, 67, 58, 187]",0.9997922403080216,0.7043346167849837,0.8938587230917315,0.5811201957507671
10,42,1,0.5335577014968453,0.4595306122448979,0.47846938775510206,0.023035309187612193,0.007029691648734937,0.5043215074203308,0.4166666666666667,0.4614453665283541,0.5214723926380368,0.3469387755102041,"[122, 78, 160, 85]",0.9999574148782713,0.02303530912407672,0.45517241379284185,0.011816662687992184
25,42,1,0.5707563917860663,0.4901632653061224,0.5203061224489796,0.06938299218323793,0.02961860563237001,0.5162544899756261,0.421875,0.49156991106719367,0.5827338129496403,0.3306122448979592,"[142, 58, 164, 81]",0.9994434286305703,0.06938299187000037,0.1872212017842963,0.04258176175698194
50,42,1,0.5479902691993066,0.49438775510204086,0.504234693877551,0.023340985000866565,0.041248615907163035,0.49626961376032863,0.6772151898734177,0.4432587577274065,0.5529715762273901,0.8734693877551021,"[27, 173, 31, 214]",0.9834572524438828,0.023340984740607012,0.013765288441710394,0.07668894724277756
100,42,1,0.5481063365160043,0.49062244897959173,0.4791836734693877,0.015019284140673796,0.02979577585142486,0.4901580152665516,0.6143106457242583,0.4585748812217506,0.5365853658536586,0.7183673469387755,"[48, 152, 69, 176]",0.9754756416697392,0.015019283945588551,0.008423813346604123,0.06919909286225726
200,42,1,0.5518869375091933,0.49098979591836733,0.5121428571428571,0.046582112177440654,0.031030982611130693,0.5090628552178027,0.5373134328358209,0.5109370014535399,0.5625,0.5142857142857142,"[102, 98, 119, 126]",0.9971334553028719,0.046582111670322855,0.04661377795706084,0.046550489376938904
400,42,1,0.6332863102005358,0.5329183673469389,0.5439795918367347,0.3111612175957237,0.13928255353655133,0.590849656292853,0.40555555555555556,0.5008909853249476,0.6347826086956522,0.2979591836734694,"[158, 42, 172, 73]",0.9998817229688693,0.31116121728267904,0.8297665998577081,0.19148364764860062
1777,42,1,0.865722962552361,0.8118775510204082,0.7253061224489796,0.7173273991069596,0.4379770707110969,0.7789297507817687,0.6649616368286445,0.701218293364222,0.8904109589041096,0.5306122448979592,"[184, 16, 115, 130]",0.9998648775884387,0.717327398630254,0.928674744504756,0.5843429219384013
10,42,2,0.5374661201618838,0.46346938775510194,0.5135714285714286,0.017089006477743418,0.006416985120883141,0.5028072389338551,0.3559322033898305,0.4652795345307361,0.5779816513761468,0.2571428571428571,"[154, 46, 182, 63]",0.9999719692869633,0.01708900642858333,0.48301574150747056,0.008698376700883135
25,42,2,0.5513210399125134,0.49250000000000005,0.4888775510204082,0.010177286586678538,0.023241784256331773,0.4832659632392722,0.6433333333333333,0.4527011494252874,0.543661971830986,0.7877551020408163,"[38, 162, 52, 193]",0.9641206423920692,0.010177286443358807,0.0055132982796467335,0.06606588684650176
50,42,2,0.5508358765431669,0.49139795918367346,0.47331632653061223,0.03822735155042368,0.03029833654968106,0.5059542323325825,0.5974955277280859,0.4588686097854931,0.5318471337579618,0.6816326530612244,"[53, 147, 78, 167]",0.995260428683038,0.03822735107325571,0.030880583442789808,0.05016113630938096
100,42,2,0.5541912641786175,0.49070408163265306,0.49647959183673473,0.01447769252005156,0.030990253662576482,0.49003076023282904,0.6140035906642729,0.48417897250931363,0.5480769230769231,0.6979591836734694,"[59, 141, 74, 171]",0.975503582540747,0.014477692324744391,0.00812132698663299,0.06661792790642058
200,42,2,0.5905024420509443,0.5025714285714286,0.5066836734693878,0.11095018537170373,0.04310403259433045,0.5278680855686703,0.5369978858350951,0.5059090148599936,0.5570175438596491,0.5183673469387755,"[99, 101, 118, 127]",0.9998176206812038,0.11095018516498968,0.5069823922282323,0.062291119598948695
400,42,2,0.6254530622126471,0.5319591836734694,0.5399489795918367,0.2846280633876174,0.13836991932927345,0.5816317289774038,0.5105386416861827,0.5295673769985989,0.5989010989010989,0.4448979591836735,"[127, 73, 136, 109]",0.9998083669522205,0.2846280630667193,0.7349487418452478,0.17648901885891358
1777,42,2,0.8668028955288878,0.8156122448979592,0.7159693877551021,0.7158019523244873,0.4317883472053372,0.7780077455793676,0.6666666666666666,0.6960382513661202,0.8535031847133758,0.5469387755102041,"[177, 23, 111, 134]",0.999896412140605,0.7158019518509993,0.9436874236874007,0.5765695870135984
10,42,3,0.5335456817589946,0.4627142857142858,0.4716326530612245,0.024397336371741008,0.008488519714682338,0.5046720241215985,0.4258373205741627,0.45868137215148813,0.5144508670520231,0.363265306122449,"[116, 84, 156, 89]",0.9999588972717491,0.024397336307851538,0.4783352337511526,0.012517904034375558
25,42,3,0.5512479995300438,0.4909285714285714,0.47801020408163264,0.01081158651943433,0.02477751872977432,0.48449996159729886,0.6258503401360545,0.44868675947200076,0.5364431486880467,0.7510204081632653,"[41, 159, 61, 184]",0.9662734370900957,0.010811586368496825,0.005885530730547287,0.06631952733349149
50,42,3,0.5540555889948642,0.47024489795918367,0.5190816326530612,0.03080883931873262,0.012026863410150261,0.5063052630810836,0.3090909090909091,0.45097402597402597,0.6,0.20816326530612245,"[166, 34, 194, 51]",0.99991851327973,0.030808839225588573,0.37253545485978123,0.016068870852231795
100,42,3,0.5503813942307538,0.4901632653061225,0.4885204081632653,0.017147609298094148,0.03324897508231961,0.49201505504924115,0.6120996441281139,0.4737327488933253,0.5425867507886435,0.7020408163265306,"[55, 145, 73, 172]",0.9781087767756199,0.01714760908533588,0.009741506661979453,0.0715266173311042
200,42,3,0.6038700700033797,0.5128367346938775,0.5205612244897959,0.18453996984433713,0.07912491195055903,0.5493712787859466,0.40214477211796246,0.485405074646989,0.5859375,0.30612244897959184,"[147, 53, 170, 75]",0.999766635329767,0.1845399695686041,0.5855934907466029,0.10952793029362452
400,42,3,0.5941167416618356,0.5072551020408164,0.4770408163265306,0.1492869976671145,0.07500588991204087,0.5386565734564004,0.6437908496732027,0.4298090939013495,0.5367847411444142,0.8040816326530612,"[30, 170, 48, 197]",0.9993553834421859,0.1492869972949068,0.31385674667685215,0.09793506803532916
1777,42,3,0.8892996194822536,0.8445306122448979,0.708265306122449,0.7257916150740686,0.4619022213682836,0.7841054799812058,0.734020618556701,0.7077510500190912,0.7416666666666667,0.726530612244898,"[138, 62, 67, 178]",0.9997750804804896,0.7257916145888609,0.8912372925536344,0.6121538553353931
10,42,4,0.5350226620032004,0.46046938775510204,0.4946938775510204,0.015022784080331872,0.005025758714065646,0.5022835697549168,0.35967302452316074,0.4551711202921731,0.5409836065573771,0.2693877551020408,"[144, 56, 179, 66]",0.9999777640978315,0.015022784036715016,0.5079522862818012,0.007624134638338391
25,42,4,0.5489603309277895,0.49157142857142866,0.49704081632653063,0.011493955563197364,0.02577786737558793,0.48405880919733973,0.652317880794702,0.45902607326448386,0.5487465181058496,0.8040816326530612,"[38, 162, 48, 197]",0.9650235098621393,0.011493955416850193,0.006238592998174871,0.07292910002387096
50,42,4,0.5503971982708764,0.49098979591836733,0.4816326530612245,0.010089911134279487,0.023191625001479168,0.4834267734276588,0.6317567567567568,0.4501065662978415,0.5389048991354467,0.763265306122449,"[40, 160, 58, 187]",0.9644908813934283,0.01008991098969144,0.005470372798105744,0.06487228455478537
100,42,4,0.5467190336460013,0.4899285714285715,0.47505102040816327,0.011314365647256167,0.02564387759383844,0.4842591505983619,0.626057529610829,0.4434635474141102,0.5346820809248555,0.7551020408163265,"[39, 161, 60, 185]",0.9655224475699887,0.011314365499116295,0.006148164550159717,0.07084029601336729
200,42,4,0.6127744898589793,0.514061224489796,0.511326530612245,0.18818571533352485,0.08484995438128101,0.5504312380464422,0.5938697318007663,0.5088913876395136,0.5595667870036101,0.6326530612244898,"[78, 122, 90, 155]",0.9996503348232736,0.1881857150179343,0.4995499549954674,0.11592862258295362
400,42,4,0.6548087152307581,0.5545102040816325,0.5421938775510204,0.24458098652567992,0.11494111528201979,0.5682763711922199,0.5263157894736842,0.5346810735447891,0.5989583333333334,0.46938775510204084,"[123, 77, 130, 115]",0.9997766976370109,0.24458098621757784,0.668644180775852,0.14966280735258788
1777,42,4,0.8862510814624647,0.8275510204081633,0.7428061224489796,0.7239606817591852,0.4327727999005999,0.782988224819059,0.7568710359408034,0.7405458297210012,0.7850877192982456,0.7306122448979592,"[151, 49, 66, 179]",0.9998326243000407,0.7239606812784893,0.9150594993844683,0.5988899498686948
10,43,0,0.5469696031090573,0.4899795918367347,0.48948979591836733,0.023198823734912617,0.019329670696901634,0.5042610481264225,0.3388888888888889,0.444916142557652,0.5304347826086957,0.24897959183673468,"[146, 54, 184, 61]",0.9997495204232494,0.023198823561904645,0.1325451151213235,0.012711864406779471
25,43,0,0.5632194023255508,0.5073979591836735,0.518469387755102,0.005111945219937642,0.013196952975526147,0.469853939481056,0.6421052631578947,0.5023026315789474,0.563076923076923,0.746938775510204,"[58, 142, 62, 183]",0.9398151392443639,0.0051119451287075955,0.002683493648196586,0.05378670327046947
50,43,0,0.5545125007848419,0.4760918367346939,0.4649489795918367,0.01018666141329082,0.006017145841969014,0.500988690389957,0.5787545787545788,0.45507496379589407,0.5249169435215947,0.6448979591836734,"[57, 143, 87, 158]",0.9998431358174295,0.010186661296512148,0.09369322605759313,0.005386130341370175
