checkpoint,dataset,kind,n_samples,n_bonafide,n_attack,pr_auc,roc_auc,bacc,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,dice_global,dice_pos_mean,miou,pix_specificity,pix_f1,pix_prec,pix_rec
model_cls_only_seed42.pt,sidtd,templates,2222,1000,1222,0.5528588094052862,0.5058956628477904,0.5024672667757775,0.5926487305797651,0.498540431771877,0.5518701482004235,0.6399345335515548,"[365, 635, 440, 782]",0.00028667476477717345,0.0001902763934998426,0.498413917635612,0.9999590554563518,0.00028667473748597886,0.011514229850095259,0.00014514424051222184
model_cls_only_seed43.pt,sidtd,templates,2222,1000,1222,0.5346620217051474,0.49527045826513905,0.5,0.7096399535423926,0.3548199767711963,0.54995499549955,1.0,"[0, 1000, 0, 1222]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed44.pt,sidtd,templates,2222,1000,1222,0.552231066443515,0.507911620294599,0.510828968903437,0.5871844660194174,0.5092155609925872,0.5587583148558758,0.618657937806874,"[403, 597, 466, 756]",9.846881273940648e-05,6.788946187434548e-05,0.4983851953999928,0.9999961665108584,9.846880757848307e-05,0.040540540540449234,4.929427036264138e-05
model_cls_only_seed45.pt,sidtd,templates,2222,1000,1222,0.5539232484534684,0.5082675941080197,0.5120965630114567,0.5615038823048631,0.5120989616832278,0.5608163265306122,0.5621931260229133,"[462, 538, 535, 687]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed46.pt,sidtd,templates,2222,1000,1222,0.5529682333558599,0.5026157937806874,0.5,0.7096399535423926,0.3548199767711963,0.54995499549955,1.0,"[0, 1000, 0, 1222]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed47.pt,sidtd,templates,2222,1000,1222,0.5548553702231781,0.5076788052373159,0.5076317512274959,0.49795918367346936,0.5017710165799236,0.5584944048830112,0.4492635024549918,"[566, 434, 673, 549]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed48.pt,sidtd,templates,2222,1000,1222,0.5535093571042956,0.5036816693944353,0.5052774140752865,0.5531391054575298,0.5052691042982715,0.5547325102880658,0.5515548281505729,"[459, 541, 548, 674]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed49.pt,sidtd,templates,2222,1000,1222,0.5533586913502552,0.5057029459901801,0.5071972176759411,0.6070500927643785,0.5007806209962544,0.5553292600135777,0.6693944353518821,"[345, 655, 404, 818]",4.923898688041153e-05,2.707611569213685e-05,0.49837295892149325,0.9999963914808785,4.9238981904453435e-05,0.021951219512141584,2.464713518132069e-05
model_cls_only_seed50.pt,sidtd,templates,2222,1000,1222,0.5423780702987813,0.4893498363338789,0.48800818330605567,0.56394211967149,0.4865285585108907,0.5400749063670413,0.5900163666121113,"[386, 614, 501, 721]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed51.pt,sidtd,templates,2222,1000,1222,0.5707397652191961,0.5213236497545009,0.5082708674304419,0.5160722148833113,0.5051598994342925,0.5586272640610105,0.4795417348608838,"[537, 463, 636, 586]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed52.pt,sidtd,templates,2222,1000,1222,0.554750152297095,0.49970581014729953,0.4951031096563011,0.5868989019310867,0.4908981475822932,0.5461592670894997,0.6342062193126022,"[356, 644, 447, 775]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed53.pt,sidtd,templates,2222,1000,1222,0.5703296631969177,0.5214108019639934,0.5165409165302782,0.5025125628140703,0.5097928667728888,0.5687693898655636,0.4500818330605565,"[583, 417, 672, 550]",0.00048334734413932394,0.0004706324613027306,0.4984515696009698,0.9999355775850599,0.0004833473032822254,0.0124155055869758,0.00024647135181320694
model_cls_only_seed54.pt,sidtd,templates,2222,1000,1222,0.5526287514623869,0.5083993453355156,0.503366612111293,0.5427261358899541,0.5031479090207717,0.5531011045029737,0.532733224222586,"[474, 526, 571, 651]",0.00035171352392503706,0.00023726478572044058,0.4984309088542119,0.999960405276472,0.0003517134973523395,0.01455767077267311,0.00017800708742064943
model_cls_only_seed55.pt,sidtd,templates,2222,1000,1222,0.5494262052597085,0.498676759410802,0.5038297872340425,0.5879647374472978,0.501066837388499,0.5529920692141312,0.6276595744680851,"[380, 620, 455, 767]",2.738540576948229e-12,8.511375105713275e-09,0.49836238905436897,0.9999999640047967,0.0,0.0,0.0
model_cls_only_seed56.pt,sidtd,templates,2222,1000,1222,0.5581743748314999,0.5078465630114566,0.5076063829787234,0.607566765578635,0.5011518038419491,0.5556309362279511,0.6702127659574468,"[345, 655, 403, 819]",0.0006706726229940337,0.0007406551228507778,0.4983501282148696,0.9996375912953088,0.000670672441111406,0.0033655868742111074,0.0003724455982955127
model_cls_only_seed57.pt,sidtd,templates,2222,1000,1222,0.5603992862180376,0.5144893617021277,0.5068968903436989,0.44235526966848093,0.48861469632825616,0.5594493116395495,0.3657937806873977,"[648, 352, 775, 447]",5.476379019987469e-06,6.184589323476456e-06,0.4983635563276168,0.9999995500599599,5.476376002558121e-06,0.019607843136870435,2.738570575702299e-06
model_cls_only_seed58.pt,sidtd,templates,2222,1000,1222,0.5561740753076526,0.5133805237315876,0.5165057283142389,0.5639344262295082,0.5164981512385066,0.5648604269293924,0.563011456628478,"[470, 530, 534, 688]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed59.pt,sidtd,templates,2222,1000,1222,0.5433686146563916,0.4935147299509002,0.5,0.7096399535423926,0.3548199767711963,0.54995499549955,1.0,"[0, 1000, 0, 1222]",2.738360598269525e-12,8.510084895003591e-09,0.4983622814224322,0.9999997480335775,0.0,0.0,0.0
model_cls_only_seed60.pt,sidtd,templates,2222,1000,1222,0.5538528531311053,0.5019533551554828,0.5066014729950901,0.5841737781225756,0.5048414442595729,0.5553097345132744,0.61620294599018,"[397, 603, 469, 753]",0.011297932580387122,0.017057328081023674,0.4923684198452509,0.9821553780100156,0.011297932318531547,0.006682228478114947,0.036532531479868666
model_cls_only_seed61.pt,sidtd,templates,2222,1000,1222,0.556429687669196,0.5101055646481178,0.5005122749590835,0.5896656534954408,0.4968195817146078,0.550354609929078,0.6350245499181669,"[366, 634, 446, 776]",2.7385705756948063e-12,8.51140608584172e-09,0.4983624069930251,1.0,0.0,0.0,0.0
model_cls_only_seed62.pt,sidtd,templates,2222,1000,1222,0.5498935360305246,0.4952135842880524,0.4984148936170213,0.5560936238902341,0.49829096250462873,0.5485668789808917,0.5638297872340425,"[433, 567, 533, 689]",0.0033389937250688337,0.0016846489071215233,0.4989620453245051,0.9995191580779562,0.003338993497811553,0.012930875235526417,0.0019169994029916092
