sidtd_class,n_samples,n_bonafide,n_attack,pr_auc,roc_auc,bacc,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,dice_global,dice_pos_mean,miou,pix_specificity,pix_f1,pix_prec,pix_rec
alb_id,222,100,122,0.47131997243036633,0.37467213114754094,0.48360655737704916,0.6941176470588235,0.34705882352941175,0.5412844036697247,0.9672131147540983,"[0, 100, 4, 118]",0.00012284638063564244,0.00012810554417855234,0.4985693257792519,0.9999778513245852,0.00012284633481089604,0.00806451612899974,6.189459350725522e-05
aze_passport,226,100,126,0.6662821767163017,0.6194444444444445,0.5138095238095238,0.08955223880597014,0.3529522200319159,0.75,0.047619047619047616,"[98, 2, 120, 6]",7.869163376816543e-05,3.419866316342392e-05,0.49665801027331197,0.9999900565039164,7.869161764196295e-05,0.026086956521512286,3.940524352440446e-05
esp_id,222,100,122,0.5315400254993091,0.4604918032786885,0.5,0.7093023255813954,0.3546511627906977,0.5495495495495496,1.0,"[0, 100, 0, 122]",0.0003336391970324564,0.000225488514088125,0.49846950923493677,0.9999346171958394,0.0003336391293628832,0.008196721311464213,0.0001702852277564873
est_id,220,100,120,0.5818303396754477,0.5264166666666668,0.5066666666666666,0.6773162939297125,0.4410203516892657,0.5492227979274611,0.8833333333333333,"[13, 87, 14, 106]",0.0008707884318818813,0.0007399297979275113,0.4988665467279179,0.9998025619539063,0.0008707882626559033,0.005944215820756313,0.00046980593401031875
fin_id,221,100,121,0.5522109153469106,0.5375619834710743,0.5299173553719009,0.5952380952380952,0.5291979949874687,0.5725190839694656,0.6198347107438017,"[44, 56, 46, 75]",0.0001890538330565718,0.0001926261099093375,0.49909343070246515,0.999933866210259,0.00018905371882630938,0.002724795640323263,9.792401096748443e-05
grc_passport,221,100,121,0.5396478055844177,0.4795867768595042,0.4909917355371901,0.5506072874493927,0.49068825910931174,0.5396825396825397,0.5619834710743802,"[42, 58, 53, 68]",0.00010752690859926003,2.3034803378845372e-05,0.4983497096035512,0.9999997285485734,0.00010752688145164326,0.39999999992,5.377066810054971e-05
lva_passport,222,100,122,0.5585538118232473,0.5081557377049181,0.5,0.7093023255813954,0.3546511627906977,0.5495495495495496,1.0,"[0, 100, 0, 122]",0.0008455070928450019,0.00032937169727701387,0.49830187852276536,0.9999526900739358,0.0008455070441976647,0.03314917127065718,0.0004282145830855138
rus_internalpassport,225,100,125,0.63223554656319,0.53128,0.538,0.3253012048192771,0.4654675038180892,0.6585365853658537,0.216,"[86, 14, 98, 27]",6.367604826439314e-05,4.9540790558012306e-05,0.49862494895298337,0.9999995558791517,6.367601604642506e-05,0.16666666663888888,3.1844091328852916e-05
srb_passport,222,100,122,0.5053005124573696,0.4389344262295082,0.4588524590163935,0.31693989071038253,0.4190063438226242,0.47540983606557374,0.23770491803278687,"[68, 32, 93, 29]",3.2508696075143565e-11,1.215968207726873e-08,0.49861922969714706,0.9999999999999998,0.0,0.0,0.0
svk_id,221,100,121,0.6630258180733936,0.6166115702479339,0.5204132231404959,0.689873417721519,0.4560478199718706,0.558974358974359,0.9008264462809917,"[14, 86, 12, 109]",0.00037477750709345145,0.0001967459588268765,0.4986505106869482,0.9999974676471574,0.00037477747375219277,0.17647058823010384,0.00018758793184304556
