checkpoint,dataset,kind,n_samples,n_bonafide,n_attack,pr_auc,roc_auc,bacc,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,dice_global,dice_pos_mean,miou,pix_specificity,pix_f1,pix_prec,pix_rec
model_aug_seed42.pt,sidtd,templates,2222,1000,1222,0.5698967218721114,0.5161677577741408,0.5032446808510639,0.6140988372093024,0.49321963137060865,0.5522875816993464,0.6914893617021277,"[315, 685, 377, 845]",0.0021208495626900475,0.0047838131199818956,0.4627573912687826,0.9274164826246925,0.0021208494797862326,0.001108378349593677,0.024510206652535577
model_aug_seed43.pt,sidtd,templates,2222,1000,1222,0.5573122794442543,0.5056939443535188,0.5007119476268412,0.6623207301173403,0.4547068766865771,0.5503791982665223,0.8314238952536824,"[170, 830, 206, 1016]",0.001366475569832272,0.002205545326768011,0.4600337248747915,0.9223539192720099,0.001366475491866565,0.0007121315176855643,0.016839470469993435
model_aug_seed44.pt,sidtd,templates,2222,1000,1222,0.562974450624468,0.5070040916530277,0.4984067103109656,0.7022720566538802,0.37293697619423866,0.5491462851868943,0.9738134206219312,"[23, 977, 32, 1190]",0.0026506203668312917,0.004012383991879964,0.4642280625810815,0.9300854909473054,0.002650620281067891,0.0013875126942308905,0.02956286936470632
model_aug_seed45.pt,sidtd,templates,2222,1000,1222,0.5663493173379475,0.5103248772504091,0.5044386252045826,0.6618516086671044,0.46254239946946063,0.5526315789473685,0.8248772504091653,"[184, 816, 214, 1008]",0.006676174716853847,0.01296882006334055,0.46739909438695054,0.9342943830619244,0.006676174626292837,0.0035044406003596146,0.07032101524288363
model_aug_seed46.pt,sidtd,templates,2222,1000,1222,0.5607076007802484,0.5014652209492635,0.503157937806874,0.6313945339873861,0.48487965693079993,0.5520833333333334,0.737315875613748,"[269, 731, 321, 901]",0.007184116253253672,0.01037669320531205,0.46544511144799017,0.9300875336750873,0.007184116167674106,0.003760253210557894,0.08030584356189421
model_aug_seed47.pt,sidtd,templates,2222,1000,1222,0.5443496157228869,0.49284042553191487,0.49122013093289685,0.6851232126559172,0.3952841646684945,0.5452784503631961,0.9214402618657938,"[61, 939, 96, 1126]",0.005405072496100377,0.010349403567306013,0.45702118642412953,0.9141068692903846,0.005405072425206885,0.002805635048258385,0.07354431281048524
model_aug_seed48.pt,sidtd,templates,2222,1000,1222,0.5711691321912722,0.5108837970540098,0.5167397708674304,0.5980806142034549,0.514374727982641,0.5632682574114244,0.6374795417348609,"[396, 604, 443, 779]",0.0012842401784508063,0.0021249178710512737,0.4601560926524361,0.9226439866170555,0.0012842401002134524,0.0006693779690714361,0.015768689374893837
model_aug_seed49.pt,sidtd,templates,2222,1000,1222,0.5620191334245096,0.5101833060556464,0.49794844517184944,0.6911185207638678,0.4005810944430693,0.548868560423688,0.9328968903436988,"[63, 937, 82, 1140]",0.004142547155670055,0.006783961183358791,0.4620473149861952,0.9248987531423587,0.004142547075390658,0.002161703297852943,0.049513356008697565
model_aug_seed50.pt,sidtd,templates,2222,1000,1222,0.5604418388303789,0.5124075286415711,0.49935842880523734,0.6943942133815552,0.3969306768506355,0.549618320610687,0.9427168576104746,"[56, 944, 70, 1152]",0.0030716163858597986,0.005383215670344534,0.4597872893425664,0.9209367431277373,0.003071616309243037,0.0015995358209774414,0.03854811942358556
model_aug_seed51.pt,sidtd,templates,2222,1000,1222,0.5793391171814044,0.5171587561374795,0.5041407528641572,0.5509868421052632,0.5041216516689337,0.5537190082644629,0.5482815057283142,"[460, 540, 552, 670]",0.005084299289694629,0.009282290284265648,0.4752875724604518,0.9510153877873927,0.005084299171978645,0.0027122176574823054,0.040541798802696837
