trial_number,pruned,time_sec,lr,weight_decay,dropout_rate,alpha,dec_ch,loss_w_mask,val_cls_prauc,val_mask_dice_global,distance_to_ideal
0,False,230.88731349998852,0.00014761140622734654,7.114476009343419e-05,0.31959818254342154,0.2,96,2.665440364437338,0.9837936265951349,0.80128996379551,0.19936981975045184
1,False,227.32035690004705,0.0002841405069557113,1.3311216080736884e-05,0.10617534828874074,0.2,96,0.9585112746335845,0.9919847520859767,0.7920791991195698,0.2080752355228338
2,False,233.91943670000182,0.00012046944978568695,3.7520558551242797e-06,0.22958350559263474,0.2,128,1.4159046082342293,0.987046689840479,0.800812356233577,0.1996083807692156
3,False,320.6897130999714,0.00018683666900867592,2.2673986523780406e-05,0.15990213464750794,0.2,256,0.9263103092182288,0.9878088259768196,0.8136776524720283,0.186720759189753
4,False,221.1733988999622,6.034308097075226e-05,7.025166339242167e-05,0.3896896099223679,0.2,96,1.6003812343490034,0.9691404330736819,0.765286421389639,0.23673355667281737
5,False,221.7402948999661,7.114776224468202e-05,3.0586566669785253e-06,0.11031655633456552,0.2,96,1.800170052944527,0.9857017318676682,0.7805705048668139,0.21989484715651933
6,False,233.65971870004432,0.00024279536193499654,3.5856126103453943e-07,0.39087538832936763,0.2,128,2.804685587557792,0.9861639993043333,0.8255178004771601,0.17502991991536365
7,False,320.73321860004216,6.45731851556331e-05,3.8721180321745825e-07,0.11356818667316143,0.2,256,1.3918833167339733,0.9871158962401413,0.7928518188771937,0.20754847403000046
8,False,285.04313629999524,0.0001126209976172096,4.247058562261874e-06,0.1422772674924288,0.2,192,0.996789203835431,0.9816269286744953,0.7955558512485672,0.20526806792248536
9,False,233.76611619995674,5.08044514038736e-05,2.795015916508335e-05,0.3120572031542852,0.2,128,0.7896726488128243,0.9778292461280597,0.765057290478911,0.23598648072370787
10,False,320.44801560003543,0.0006058986765773628,7.411299781083234e-06,0.19926940745579477,0.2,256,2.093893678388033,0.9913120463897928,0.8293929768255779,0.17082809164294646
11,False,320.51696069998434,0.0006496265503239576,2.6100256506134772e-06,0.13587827378149053,0.2,256,1.7344889909109769,0.991128439157016,0.8222809361397945,0.17794035588122945
12,False,285.0057627999922,0.0002265385688667161,1.9170041589170644e-06,0.10762573802322856,0.2,192,1.771426727911757,0.9910333485072492,0.8114396386718568,0.18877343749371198
13,False,222.28354420000687,0.0006889905187802439,5.595986878006078e-07,0.22311487691068893,0.2,96,0.903053218135011,0.9893283354214528,0.7978352412244243,0.2024462252442948
14,False,320.4248341000057,0.0007345035605176187,2.656813924114494e-05,0.2900211269531271,0.2,256,1.8483556047891267,0.9885703848625422,0.8030334908633237,0.19729785052979876
15,False,320.089803400042,0.00051585474613033,4.878360603452141e-05,0.19540104249155918,0.2,256,2.6518264581408584,0.9867771271173446,0.8212175855192383,0.179270734072357
16,False,320.528904900013,5.101487450557243e-05,3.4059785435329953e-06,0.22522330094463372,0.2,256,1.308007330051888,0.9752766819052354,0.7748812980013619,0.22647223328074143
17,False,221.23536699998658,0.0002239719379003393,1.2854549964879024e-05,0.20908888071378823,0.2,96,1.252195774541924,0.9898292138408408,0.8084161167944964,0.1918536660978762
18,False,320.4610091999639,0.00011389966461383681,1.2902113024567142e-07,0.28286930019396905,0.2,256,1.098904726667431,0.9865651132779272,0.8113459455118178,0.18913182824703234
19,False,285.06912670005113,7.600681836450568e-05,2.940074130903305e-06,0.3956951362331803,0.2,192,2.3205408715296487,0.9720445127897206,0.788878525094924,0.21296428440294574
20,False,285.0320604000008,0.00014475649490701937,7.88710262476648e-06,0.29005891322826843,0.2,192,0.9662962759996356,0.9876491841317456,0.807420210189034,0.19297543391905453
21,False,320.36564169998746,5.625406600481959e-05,5.9248700519943105e-06,0.30326930855268475,0.2,256,0.9359160725124787,0.982640414925303,0.7822033268115016,0.21848740477643833
22,False,320.4249180999468,0.00036837075967684,1.4461256820152131e-06,0.38101899662102046,0.2,256,2.6933483834524523,0.9901781552393363,0.8363903770933826,0.16390417121644013
23,False,221.27178030001232,0.0001053797193292436,9.548873458201653e-06,0.3451666600603648,0.2,96,2.7430393948833167,0.9790346549787886,0.7898815352193971,0.21116182167621092
24,False,284.9413379000034,0.0006749009424333191,7.930569433855148e-06,0.2017089373146102,0.2,192,2.4496888646440595,0.9830810486771133,0.8102493154799106,0.19050347290721156
25,False,221.02683009998873,0.0003198119424338642,1.7882156647879477e-07,0.14848861422838414,0.2,96,2.1587544227701394,0.9902987416613858,0.8188053150469441,0.18145420432877746
26,False,320.5923595999484,5.0736869958953613e-05,3.036855685244963e-07,0.26462013680997587,0.2,256,1.0931227187420003,0.9764329006601488,0.7781835459866082,0.22306489513675065
27,False,221.14570340001956,0.0001280664286356861,1.735698209081426e-05,0.2948898697141644,0.2,96,1.4192895076485839,0.989786700490605,0.8092917458516453,0.19098154279192023
28,False,233.43011419998948,0.00010761461214402011,5.394720267647731e-07,0.39190316642573375,0.2,128,1.7565927327629802,0.9856908669920029,0.8006405753401913,0.1998722879444034
29,False,221.4015020999941,0.0002649363744047999,3.0029844369151303e-06,0.15857289633941335,0.2,96,0.9427766985176224,0.9871599511425935,0.8091793536360228,0.1912521527550125
