comparison,metric,n_paired,mean_pareto,mean_scalar,delta_pareto_minus_scalar,diff_ci95_lo,diff_ci95_hi,wilcoxon_p,cohens_d_paired,wilcoxon_p_holm,wilcoxon_reject_holm
pareto vs by_prauc,test_pr_auc,30,0.9966825849002094,0.9953206073704494,0.0013619775297600833,0.00031545952829100873,0.0024084955312292837,0.015460003167390823,0.48596466266577865,0.06184001266956329,False
pareto vs by_prauc,test_dice_global,30,0.8750241723887341,0.858933828771921,0.016090343616813052,0.005966853831825105,0.026213833401800876,0.005382779985666275,0.5934942570646422,0.0430622398853302,True
pareto vs by_prauc,test_bacc,30,0.9573345650316865,0.9481325863678803,0.00920197866380612,0.0005973600456796371,0.017806597281932263,0.06123865552004713,0.39932918072565887,0.06123865552004713,False
pareto vs by_prauc,test_f1_1,30,0.9651041450161878,0.956869148513179,0.008234996503008851,0.0014165657126004325,0.015053427293417396,0.022098854184150696,0.45098327236264346,0.06629656255245209,False
pareto vs by_prauc,test_f1_macro,30,0.9422885673115038,0.929351538239123,0.012937029072380812,0.0024256914943164287,0.023448366650444648,0.024786051362752914,0.4595767199937008,0.04957210272550583,False
pareto vs by_dice,test_pr_auc,30,0.9966825849002094,0.9947885678276626,0.001894017072546883,0.0007837152094078625,0.0030043189356862145,0.0007978975772857666,0.6369777636653146,0.007181078195571899,True
pareto vs by_dice,test_dice_global,30,0.8750241723887341,0.8565563092736267,0.018467863115107397,0.011553256045105832,0.025382470185109265,3.904104232788086e-05,0.9973109606668664,0.0003904104232788086,True
pareto vs by_dice,test_bacc,30,0.9573345650316865,0.9463317241790333,0.011002840852653129,0.0019001830007732631,0.02010549870453295,0.006639536470174789,0.4513547979985188,0.03983721882104874,True
pareto vs by_dice,test_f1_1,30,0.9651041450161878,0.9564018538884841,0.00870229112770371,0.00136525763946791,0.016039324615940168,0.013291697673508594,0.4428886573824371,0.06645848836754298,False
pareto vs by_dice,test_f1_macro,30,0.9422885673115038,0.9283126610671925,0.013975906244311331,0.0028051947835446515,0.025146617705077305,0.0061949919909238815,0.46717607705974307,0.04336494393646717,True
